Commodity Type,Genus,Revenue/Acre [est],USDA Zones,Preferred soil drainage,Prefered pH,
Abaca,Musa spp.,"$1,000 – $2,500",Zones 10-12,Well-drained,5.5–7.0,Loam
Abiu,Pouteria spp.,"$2,000 – $4,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Acorn,Quercus spp.,$200 – $500 (wild harvest),Zones 3-9,Moderate,5.0–6.5,Loam
Acrocomia,Acrocomia spp.,"$1,500 – $3,500",Zones 10-12,Well-drained,6.0–7.5,Loam
Alfalfa,Medicago spp.,$300 – $600,Zones 3-9,Well-drained,6.5–8.0,Sand and Loam
Almond,Prunus spp. except for Prunus africana,"$1,500 – $3,000 (after 3–5 years)",Zones 5-9,Well-drained,6.0–7.5,Loam
Aloe,Aloe vera,"$3,000 – $6,000",Zones 8-11,Well-drained,6.0–7.0,Sand and Loam
Alokon,Broussonetia spp.,"$1,000 – $2,500",Zones 10-12,Well-drained,6.0–7.5,Loam
Alsike,Trifolium spp.,$400 – $800,Zones 3-7,Moderate,6.0–7.5,Loam
Alstroemeria,Alstroemeria spp.,"$8,000 – $15,000 (cut flower)",Zones 8-11,Well-drained,6.0–7.0,Loam
Amaranth,Amaranthus spp.,"$1,000 – $2,500",Zones 2-10,Moderate,6.0–7.5,Loam
Ambrosia mexicana,Chenopodium spp.,"$800 – $1,800",Zones 5-9,Poor,6.5–8.0,Sand
Amorphophallus spp.,Amorphophallus spp.,"$2,000 – $4,000",Zones 10-12,Well-drained,6.0–7.0,Clay and Loam
Angelica,Angelica spp.,"$2,000 – $4,000",Zones 3-8,Well-drained,6.0–7.5,Loam and Clay
Anise,Pimpinella spp.,"$1,200 – $2,500",Zones 5-9,Well-drained,6.5–7.5,Sand and Loam
Annatto,Bixa spp.,"$1,500 – $3,500",Zones 10-12,Well-drained,5.5–6.5,Loam
Anthuriums,Anthurium spp.,"$6,000 – $12,000 (floriculture)",Zones 10-12,Well-drained,5.5–6.5,Sand and Loam
Apple,Malus spp.,"$5,000 – $12,000",Zones 3-8,Well-drained,6.0–7.0,Loam
Apricot,Prunus spp. except for Prunus africana,"$4,000 – $8,000",Zones 5-8,Well-drained,6.0–7.5,Loam
Arrowhead,Sagittaria spp.,"$800 – $1,500",Zones 4-11,Excessive,6.0–8.0,Clay and Loam (wetland)
Arrowroot,Maranta spp.,"$1,200 – $2,500",Zones 10-12,Well-drained,5.5–6.5,Loam
Artichoke,Cynara spp.,"$3,500 – $6,000",Zones 8-11,Well-drained,6.5–7.5,Loam
"Artichoke, Chinese",Stachys spp.,"$1,500 – $3,000",Zones 4-8,Well-drained,6.0–7.5,Loam
"Artichoke, Jerusalem",Helianthus spp.,"$1,000 – $2,000",Zones 4-8,Well-drained,6.5–7.5,Loam
Arugula,Eruca spp.,"$4,000 – $8,000",Zones 2-10,Well-drained,6.0–7.0,Loam
Asiatic pennywort,Centella spp.,"$2,500 – $5,000",Zones 8-11,Excessive ,6.0–7.5,Clay and Loam (moist)
Asparagus,Asparagus spp.,"$5,000 – $10,000 (after 2–3 years)",Zones 3-8,Well-drained,6.5–7.5,Sand and Loam
Aster greens,Doellingeria spp.,"$2,500 – $5,000",Zones 4-8,Well-drained,6.0–7.0,Loam
Atemoya,Annona spp.,"$3,500 – $7,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Avocado,Persea spp.,"$5,000 – $12,000 (after 5–7 years)",Zones 9-12,Well-drained,5.5–6.5,Loam
Ayale,Crescentia spp.,"$1,000 – $2,500",Zones 9-12,Well-drained,6.0–7.0,Loam
Azalea,Rhododendron spp.,"$4,000 – $8,000 (landscaping)",Zones 4-8,Well-drained,4.5–6.0,Loam and Clay (acidic)
Babaco,Carica spp.,"$3,000 – $6,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Badian (star anise),Illicium spp.,"$2,500 – $5,000",Zones 8-11,Well-drained,6.0–7.5,Loam
Balsampear,Momordica spp.,"$2,000 – $4,000",Zones 9-12,Well-drained,6.0–7.5,Loam
Bamboo,Bambusa spp.,"$3,000 – $6,000",Zones 8-11,Well-drained,6.0–7.5,Loam
Banana,Musa spp.,"$5,000 – $10,000",Zones 9-12,Well-drained,5.5–7.0,Loam
Barbados cherry,Malpighia spp.,"$3,000 – $6,000",Zones 9-12,Well-drained,5.0–6.5,Loam
Barberry,Berberis spp.,"$1,500 – $3,000",Zones 3-8,Moderate,6.0–8.0,Loam
Barley,Hordeum spp.,$400 – $800,Zones 3-9,Moderate,6.0–7.5,Sand and Loam
